,symbol,start_date,sector
20,ALXN,2018-04-01,Health Care
19,AMD,2018-04-01,Information Technology
18,CVS,2018-04-01,Consumer Staples
14,HCP,2018-07-01,Real Estate
12,CXO,2018-07-01,Energy
13,AMD,2018-07-01,Information Technology
4,NEM,2018-10-01,Materials
0,AES,2019-01-01,Utilities
1,COTY,2019-01-01,Consumer Staples
2,AVGO,2019-01-01,Information Technology
3,HAL,2019-01-01,Energy
17,KMI,2019-04-01,Energy
16,CPB,2019-04-01,Consumer Staples
15,APC,2019-04-01,Energy
11,CF,2019-07-01,Materials
10,MLM,2019-07-01,Materials
9,DHI,2019-07-01,Consumer Discretionary
8,GOOGL,2019-10-01,Information Technology
7,NRG,2019-10-01,Utilities
6,AMD,2019-10-01,Information Technology
5,HP,2019-10-01,Energy
21,AMZN,2020-01-01,Consumer Discretionary
22,CTXS,2020-01-01,Information Technology
